"order","Plot","cl","rl","sapling.count","sapling.BA","consap.count","consap.BA","shrubsap.count","shrubsap.BA","htsap.count","htsap.BA","TBA_7_10","conTBA_7_10","shrubTBA_7_10"
1,"PPW1301",2,0.111275963485241,0,0,0,0,0,0,0,0,0,0,0
2,"PPW1302",2.5,0.167524691671133,27,408.389059348731,0,0,1,163.599144294036,26,244.789915054696,182.172397141691,0,0
3,"PPW1303",1,0.0919012054800987,7,24.9633308448735,1,2.74645883758454,0,0,6,22.216872007289,0,0,0
4,"PPW1304",2,0.104326479136944,2,5.144986288784,0,0,0,0,2,5.144986288784,0,0,0
5,"PPW1305",5,0.320943534374237,41,171.999841589551,0,0,0,0,41,171.999841589551,112.294737146057,0,69.2863337184124
6,"PPW1306",2,0.0847545191645622,11,19.2446111977277,6,9.71309762655258,0,0,5,9.53151357117509,0,0,0
7,"PPW1307",4,0.195417791604996,38,153.713965929883,0,0,2,30.2721511905422,36,123.44181473934,46.0950182097962,0,0
8,"PPW1308",1,0.0368700250983238,0,0,0,0,0,0,0,0,0,0,0
9,"PPW1309",1,0.0370488651096821,0,0,0,0,0,0,0,0,0,0,0
10,"PPW1310",5,0.245262145996094,6,24.5966284423832,0,0,6,24.5966284423832,0,0,112.194127641325,0,0
11,"PPW1311",2,0.0954972803592682,1,39.6076293801333,0,0,1,39.6076293801333,0,0,39.6076293801333,0,39.6076293801333
12,"PPW1312",5,0.346666663885117,300,396.74561011618,6,3.84373861166711,27,46.7065292198175,267,346.195342284696,63.6172512351933,0,0
13,"PPW1313",1,0.134264886379242,29,133.324872528452,0,0,17,114.66679667915,12,18.6580758493024,118.212241068358,0,0
14,"PPW1314",2,0.103066705167294,4,15.5462497861054,0,0,4,15.5462497861054,0,0,0,0,0
15,"PPW1315",3,0.115998513996601,5,30.6950095617154,5,30.6950095617154,0,0,0,0,0,0,0
16,"PPW1316",1,0.073591060936451,10,18.525971878219,1,3.46360590058275,1,3.07624752639513,8,11.9861184512411,0,0,0
17,"PPW1317",2,0.10378573089838,3,3.17897760616751,0,0,0,0,3,3.17897760616751,56.7450173054656,0,0
18,"PPW1318",2,0.106262989342213,1,4.75165888855456,0,0,0,0,1,4.75165888855456,75.4296396126909,0,0
19,"PPW1319",2,0.158546656370163,10,41.5611502319518,7,32.4934928160792,0,0,3,9.06765741587256,0,0,0
20,"PPW1320",6,0.38155198097229,110,420.286192188059,1,0.237582944427728,74,251.458730860103,35,168.589878383528,0,0,0
21,"PPW1321",2.5,0.104496154934168,115,360.484012531569,2,3.96319767231986,39,251.081975361122,74,105.438839498128,63.4529459394106,0,63.4529459394106
22,"PPW1322",4,0.248723194003105,6,23.0812812259242,0,0,0,0,6,23.0812812259242,0,0,0
23,"PPW1323",3,0.128501549363136,0,0,0,0,0,0,0,0,0,0,0
24,"PPW1324",4,0.161955088376999,8,21.8843344249065,7,11.592162732481,0,0,1,10.2921716924255,0,0,0
25,"PPW1325",5,0.22303207218647,0,0,0,0,0,0,0,0,76.9768739945839,0,76.9768739945839
26,"PPW1326",3,0.147776186466217,148,142.340379506275,1,0.6647610054996,0,0,147,141.675618500775,386.221510346104,386.221510346104,0
27,"PPW1327",6,0.500244975090027,90,221.907182484478,8,7.05727373702411,63,189.205873314364,19,25.6440354330901,294.502555744917,182.764116117995,54.9934223214567
28,"PPW1328",4.25,0.318468116223812,251,3481.86986363366,200,3173.80787983658,26,124.595486101555,25,183.466497695521,431.19537267765,0,0
29,"PPW1329",2.5,0.18165897578001,1,0.708821842466197,1,0.708821842466197,0,0,0,0,0,0,0
30,"PPW1330",6,0.505789458751678,285,528.342528145342,12,10.9608596887421,97,295.082022509872,176,222.299645946728,783.178942346952,438.992098785513,283.035742559314
31,"PPW1331",5,0.253428429365158,30,262.517843859087,6,8.31799486890969,0,0,24,254.199848990177,0,0,0
32,"PPW1332",1,0.0512820519506931,5,14.0960906172084,0,0,0,0,5,14.0960906172084,0,0,0
33,"PPW1333",4,0.191201727837324,42,71.3659109754562,3,15.5509621750858,0,0,39,55.8149488003704,0,0,0
34,"PPW1334",3,0.116550117731094,1,1.16176096329751,0,0,0,0,1,1.16176096329751,0,0,0
35,"PPW1335",2,0.0833784490823746,14,18.9404264890438,1,10.3491130592718,0,0,13,8.59131342977201,0,0,0
36,"PPW1336",3,0.181008905172348,6,13.7884501566056,3,4.87897193084129,0,0,3,8.90947822576431,0,0,0
37,"PPW1337",2,0.107899807393551,46,146.56503622719,2,1.83256953465527,1,1.24422777045424,43,143.48823892208,42.6399731491945,0,0
38,"PPW1338",1,0.0773295275866985,10,22.4766031799245,7,12.9210564249495,0,0,3,9.55554675497506,0,0,0
39,"PPW1339",2,0.0950570330023766,25,73.4914340250587,3,6.01183024172577,0,0,22,67.479603783333,0,0,0
40,"PPW1340",4,0.217470422387123,77,65.7294225160181,46,19.4360127301476,6,8.00548493969385,25,38.2879248461766,227.124032705213,0,0
41,"PPW1341",1,0.0805288478732109,25,26.9403351017776,15,6.59483129841569,0,0,10,20.3455038033619,0,0,0
42,"PPW1342",2,0.151871651411057,24,62.3358741316104,17,51.4525332415956,0,0,7,10.8833408900148,0,0,0
43,"PPW1343",5.5,0.312576912343502,143,108.722039440578,61,59.5825823300043,2,1.68051645022152,80,47.4589406603522,760.277203141181,760.277203141181,0
44,"PPW1344",1,0.0306014772504568,0,0,0,0,0,0,0,0,0,0,0
45,"PPW1345",6,0.286654472351074,41,149.507687525991,2,3.43878731861939,17,107.206142445405,22,38.8627577619672,456.322694659041,73.8981131940659,382.424581464975
46,"PPW1346",4,0.156941115856171,56,316.475168923389,0,0,51,308.96440628682,5,7.51076263656978,135.359446470733,0,135.359446470733
47,"PPW1347",5,0.282456129789352,84,156.70389819812,0,0,17,64.2528739688309,67,92.4510242292895,194.901109556424,0,0
48,"PPW1348",6,0.399170130491257,111,928.752727552119,11,18.5109707732981,83,880.664133184171,17,29.5776235946498,699.376015834649,60.8212337734984,320.967253718941
49,"PPW1349",1,0.0411171466112137,15,24.0547822494553,4,1.54872663840343,0,0,11,22.5060556110519,40.7150407905237,0,0
50,"PPW1350",3,0.200000002980232,127,289.678718765146,33,27.3568317478272,69,232.133380731179,25,30.1885062861404,189.205480615283,68.6614709396134,120.544009675669
