"","Plot","Basal.Area"
"1","PPW1301",NA
"2","PPW1302",30.5997407644953
"3","PPW1303",6.00868864907218
"4","PPW1304",1.4957122623741
"5","PPW1305",18.0207252397054
"6","PPW1306",14.8225053785347
"7","PPW1307",37.2256738301815
"8","PPW1308",NA
"9","PPW1309",NA
"10","PPW1310",2.52458385642476
"11","PPW1311",NA
"12","PPW1312",191.031609884998
"13","PPW1313",28.6571369471481
"14","PPW1314",5.00644205276069
"15","PPW1315",1.76714586764426
"16","PPW1316",13.6872123333437
"17","PPW1317",2.86725307511506
"18","PPW1318",NA
"19","PPW1319",11.5047479168948
"20","PPW1320",117.352230079438
"21","PPW1321",97.4481200439057
"22","PPW1322",6.60912554498953
"23","PPW1323",NA
"24","PPW1324",7.14256797756907
"25","PPW1325",NA
"26","PPW1326",96.2010648400633
"27","PPW1327",89.9263618330483
"28","PPW1328",69.8859852161664
"29","PPW1329",NA
"30","PPW1330",251.525882403074
"31","PPW1331",20.7370247878155
"32","PPW1332",4.23070428677303
"33","PPW1333",34.7616441721547
"34","PPW1334",1.16176096329751
"35","PPW1335",2.96621324370314
"36","PPW1336",6.92705472153281
"37","PPW1337",48.5212702161636
"38","PPW1338",8.23497828303859
"39","PPW1339",31.0215781180561
"40","PPW1340",27.154041942038
"41","PPW1341",11.9695465499935
"42","PPW1342",35.2067293113521
"43","PPW1343",135.674391134256
"44","PPW1344",NA
"45","PPW1345",34.5392194122806
"46","PPW1346",53.2719080871058
"47","PPW1347",96.6401024134024
"48","PPW1348",74.1871397181962
"49","PPW1349",10.1255887419689
"50","PPW1350",108.479901186803
