"","Plot","Quad","Type","Num","Species","Confidence","Dead.Stump","SA.Height_cm","SA.BD_cm","SA.Stems","DBH_cm","X_cm","Y_cm","Notes","iNum","Point","dbh","Basal.Area","Dead","Live","Topkill","gCrown","Survival","Epicormic","Apical","NPoints","bSprout","Year"
"121","PPW1305","B2","TS",1065.2,"UMBCAL",1,NA,NA,NA,NA,7.2,176,306,NA,1065,0.200000000000045,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"122","PPW1305","B2","TS",1065.3,"UMBCAL",1,NA,NA,NA,NA,11.5,176,306,NA,1065,0.299999999999955,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"123","PPW1305","B2","TS",1065.4,"UMBCAL",1,NA,NA,NA,NA,8.65,176,306,NA,1065,0.400000000000091,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"125","PPW1305","B2","TS",1067.1,"UMBCAL",1,NA,NA,NA,NA,9.3,125,116,NA,1067,0.099999999999909,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"126","PPW1305","B2","TS",1067.2,"UMBCAL",1,NA,NA,NA,NA,10.9,125,116,NA,1067,0.200000000000045,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"127","PPW1305","B2","TS",1067.3,"UMBCAL",1,NA,NA,NA,NA,4.3,125,116,NA,1067,0.299999999999955,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"129","PPW1305","B2","TR",1068.1,"UMBCAL",1,NA,NA,NA,NA,15.4,280,38,NA,1068,0.099999999999909,15.4,186.265028431339,NA,1,NA,1,NA,NA,NA,1,NA,2013
"131","PPW1305","B1","TR",1069.2,"UMBCAL",1,NA,NA,NA,NA,9.9,117,389,NA,1069,0.200000000000045,9.9,76.9768739945839,NA,1,NA,1,NA,NA,NA,1,NA,2013
"132","PPW1305","B1","TR",1069.1,"UMBCAL",1,NA,NA,NA,NA,3.02,117,389,NA,1069,0.099999999999909,3.02,7.16314540945009,NA,1,NA,1,NA,NA,NA,1,NA,2013
"133","PPW1305","B1","TR",1069.3,"UMBCAL",1,NA,NA,NA,NA,8.05,117,389,NA,1069,0.299999999999955,8.05,50.8957644835631,NA,1,NA,1,NA,NA,NA,1,NA,2013
"180","PPW1306","A2","TR",1204.1,"ARBMEN",1,NA,NA,NA,NA,27.4,293,380,"TAG 117, DBH taken at 100cm tall",1204,0.099999999999909,27.4,589.645525152268,NA,1,NA,1,NA,NA,NA,1,NA,2013
"182","PPW1306","A2","TR",1204.2,"ARBMEN",1,NA,NA,NA,NA,17.2,469,376,"TAG 115",1204,0.200000000000045,17.2,232.352192659501,NA,1,NA,1,NA,NA,NA,1,NA,2013
"204","PPW1307","A2","TR",1110.2,"ARBMEN",1,NA,NA,NA,NA,30.55,275,186,NA,1110,0.200000000000045,30.55,733.014069394247,NA,1,NA,1,NA,NA,NA,1,NA,2013
"205","PPW1307","A2","TR",1110.1,"ARBMEN",1,NA,NA,NA,NA,26.85,275,186,NA,1110,0.099999999999909,26.85,566.211207451897,NA,1,NA,1,NA,NA,NA,1,NA,2013
"207","PPW1307","A3","SA",1112.1,"ARBMEN",1,NA,101,1.46,2,NA,274,39,NA,1112,0.099999999999909,1.46,1.674154725098,NA,1,NA,1,NA,NA,NA,2,NA,2013
"228","PPW1307","B2","TS",1131.1,"ARBMEN",1,NA,122,2.13,1,NA,33,139,"CHANGED TAG NUMBER TO 1131.1, CHECKED ON SCAN; 20130612 MFO ",1131,0.099999999999909,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"229","PPW1307","B2","TS",1131.2,"ARBMEN",1,NA,97,1.91,2,NA,33,139,NA,1131,0.200000000000045,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"230","PPW1307","B2","TR",1132.1,"QUEAGR",1,NA,NA,NA,NA,2.18,348,33,NA,1132,0.099999999999909,2.18,3.73252623173003,NA,1,NA,1,NA,NA,NA,1,NA,2013
"234","PPW1307","B1","TS",1143.1,"ARBMEN",1,NA,91,1.64,1,NA,263,168,NA,1143,0.099999999999909,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"237","PPW1307","B1","SA",1142.1,"QUEAGR",1,NA,121,2.11,3,NA,321,284,NA,1142,0.099999999999909,2.11,3.49667116326178,NA,1,NA,1,NA,NA,NA,3,NA,2013
