"","Num","P13","P18","P19","P20","S13","S18","S19","S20","nP","nSp"
"51",1044.3,"PPW1302","PPW1302",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
"52",1045,"PPW1302","PPW1302","PPW1302","PPW1302","UMBCAL","UMBCAL","UMBCAL","UMBCAL",1,1
"53",1047,"PPW1305","PPW1305","PPW1305",NA,"HETARB","HETARB","HETARB",NA,1,1
"54",1047.1,"PPW1305","PPW1305","PPW1305",NA,"HETARB","HETARB","HETARB",NA,1,1
"55",1047.2,"PPW1305","PPW1305","PPW1305",NA,"HETARB","HETARB","HETARB",NA,1,1
"56",1048,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"57",1049,"PPW1305","PPW1305",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
"58",1050,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"59",1050.1,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"60",1050.2,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"61",1050.3,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"62",1051,"PPW1302","PPW1302",NA,NA,"UMBCAL","UMBCAL",NA,NA,1,1
"63",1052,"PPW1305","PPW1305","PPW1305",NA,"HETARB","HETARB","HETARB",NA,1,1
"64",1052.1,"PPW1305","PPW1305","PPW1305",NA,"HETARB","HETARB","HETARB",NA,1,1
"65",1052.2,"PPW1305","PPW1305","PPW1305",NA,"HETARB","HETARB","HETARB",NA,1,1
"66",1052.3,"PPW1305","PPW1305","PPW1305",NA,"HETARB","HETARB","HETARB",NA,1,1
"67",1052.4,"PPW1305","PPW1305",NA,NA,"HETARB","HETARB",NA,NA,1,1
"68",1053,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","QUEAGR","QUEAGR",NA,1,1
"69",1054,"PPW1305","PPW1305","PPW1305",NA,"HETARB","HETARB","HETARB",NA,1,1
"70",1054.1,"PPW1305","PPW1305","PPW1305",NA,"HETARB","HETARB","HETARB",NA,1,1
"71",1054.2,"PPW1305","PPW1305","PPW1305",NA,"HETARB","HETARB","HETARB",NA,1,1
"72",1054.3,"PPW1305","PPW1305","PPW1305",NA,"HETARB","HETARB","HETARB",NA,1,1
"73",1055,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"74",1055.1,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
"75",1055.2,"PPW1305","PPW1305","PPW1305",NA,"UMBCAL","UMBCAL","UMBCAL",NA,1,1
