"","Num","P13","P18","P19","P20","S13","S18","S19","S20","nP","nSp","NA18","NA19"
"1497",2511,"PPW1338","PPW1338","PPW1338","PPW1338","PSEMEN","PSEMEN","UMBCAL","UMBCAL",1,2,0,0
"1508",2522,"PPW1338","PPW1338","PPW1338","PPW1338","UMBCAL","UMBCAL","PSEMEN","UMBCAL",1,2,0,0
"1520",2534,"PPW1339",NA,NA,"PPW1339","QUEDOU",NA,NA,"QUEAGR",1,2,0,0
"1536",2550,"PPW1339","PPW1339","PPW1339","PPW1339","QUEAGR","QUEGAR","QUEAGR","QUEAGR",1,2,0,0
"1570",2584,"PPW1335","PPW1335","PPW1335","PPW1335","QUEDOU","QUEGAR","QUEGAR","QUEGAR",1,2,0,0
"1582",2596,"PPW1332","PPW1332","PPW1332","PPW1332","QUEGAR","QUEKEL","QUEGAR","QUEGAR",1,2,0,0
"1626",2640,"PPW1334","PPW1334","PPW1334","PPW1334","QUEGAR","QUEGAR","QUEGAR","AESCAL",1,2,0,0
"1676",2690,"PPW1331","PPW1331","PPW1331",NA,"QUEGAR","QUEAGR","QUEAGR",NA,1,2,0,0
"1691",2706,"PPW1331","PPW1331","PPW1331",NA,"UMBCAL","ARBMEN","ARBMEN",NA,1,2,0,0
"1717",2732,"PPW1324","PPW1324","PPW1324",NA,"QUEGAR","QUEAGR","QUEAGR",NA,1,2,0,0
"1719",2734,"PPW1324","PPW1324","PPW1324",NA,"PSEMEN","PSEMEN","QUEAGR",NA,1,2,0,0
"1722",2737,"PPW1324","PPW1324","PPW1324","PPW1324","QUEKEL","QUEKEL","PSEMEN","QUEKEL",1,2,0,0
"1764",2784,"PPW1317","PPW1317","PPW1317","PPW1317","UMBCAL","QUEAGR","QUEAGR","UMBCAL",1,2,0,0
"1766",2786,"PPW1317","PPW1317","PPW1317","PPW1317","QUEGAR","UMBCAL","QUEGAR","QUEGAR",1,2,0,0
"1806",2826,"PPW1315","PPW1315","PPW1315",NA,"PSEMEN","PSEMEN","QUEGAR",NA,1,2,0,0
"1820",2840,"PPW1316","PPW1316","PPW1316",NA,"PSEMEN","ARCMAN","ARCMAN",NA,1,2,0,0
"1849",2869,"PPW1319","PPW1319","PPW1319","PPW1319","QUEGAR","QUEAGR","QUEGAR","QUEGAR",1,2,0,0
"1865",2885,"PPW1329","PPW1329","PPW1329","PPW1329","QUEdec","QUEGAR","QUEGAR","QUEGAR",1,2,0,0
"1870",2890,"PPW1329","PPW1329","PPW1329",NA,"QUEKEL","QUEGAR","QUEGAR",NA,1,2,0,0
"1871",2891,"PPW1329","PPW1329","PPW1329","PPW1329","QUEdec","QUEGAR","QUEGAR","QUEGAR",1,2,0,0
"1872",2892,"PPW1329","PPW1329","PPW1329","PPW1329","QUEGAR","QUEGAR","QUEAGR","QUEGAR",1,2,0,0
"1882",2902,"PPW1336","PPW1336","PPW1336","PPW1336","QUEAGR","QUEGAR","QUEGAR","QUEGAR",1,2,0,0
"1887",2907,"PPW1336","PPW1336","PPW1336",NA,"UMBCAL","QUEAGR","UMBCAL",NA,1,2,0,0
