"","x"
"(Intercept)",1.95965946235332
"TSizeCatTR1",1.63537027987298
"TSizeCatTR2",4.74402762567086
"TSizeCatTR3",5.71120548264676
"fsCat1",-4.91929300922159
"fsCat2",-6.33998363163561
"fsCat3",-9.81486206295073
