"","Var1","Var2","Var3","Freq"
"1","SA","0","DN",0
"2","TR","0","DN",6
"3","SA","1","DN",4
"4","TR","1","DN",5
"5","SA","2","DN",3
"6","TR","2","DN",48
"7","SA","3","DN",1
"8","TR","3","DN",10
"9","SA","0","GC",1
"10","TR","0","GC",32
"11","SA","1","GC",0
"12","TR","1","GC",0
"13","SA","2","GC",0
"14","TR","2","GC",20
"15","SA","3","GC",0
"16","TR","3","GC",0
