"","plot","hect","GEO.x","GEO.y","vt","fsLevel","CON","EHRO","WHTO","TBA.m2.ha","TBiom.mt.ha","propMort","del.cM"
"PPW1341","PPW1341",NA,-122.688448391362,38.5736256236736,"CON",3,73.2,26.8,0,43.3975996335342,301.681202441527,0.55,0.526990712112654
"PPW1342","PPW1342",NA,-122.686710797497,38.574343379273,"CON",3,98.7,1.3,0,98.1946056552977,616.590798812282,0.875,1.51950749711972
"PPW1343","PPW1343",NA,-122.736202763893,38.6089540050362,"CON",1,53,37.5,9.4,36.6881873824587,216.531464340735,0.707988980716253,0.238394311707578
"PPW1344","PPW1344","YES",-122.73724526965,38.6041860951017,"WO",0,0,18.3,81.7,24.7078211873662,213.28270662557,0,0
"PPW1345","PPW1345",NA,-122.73109220202,38.5982741613524,"WO",2,1.6,3.4,95.1,35.8223446158257,276.710774926472,0.410714285714286,0.238732868516699
"PPW1346","PPW1346",NA,-122.717700498591,38.585591709443,"WO",2,0,27.6,72.4,28.1396082521553,218.512485953623,0.302631578947368,0.131941578767664
"PPW1347","PPW1347",NA,-122.734854118938,38.5666777534117,"CON",0,77.6,8,14.4,35.0645186403525,222.722598314767,0.0764705882352941,0.0577636767124925
"PPW1348","PPW1348",NA,-122.73137696848,38.5694370188234,"WO",1,19,2.9,78,33.8325515242775,232.945742844154,0.271062271062271,0.170047397018408
"PPW1349","PPW1349","YES",-122.695610321375,38.5821351550772,"MH",3,13,87,0,38.43944778685,330.660167363933,0.470588235294118,0.390970654426134
"PPW1350","PPW1350",NA,-122.730974757055,38.5700127414235,"CON",1,80.3,13.7,6,50.8576353662256,290.25233866754,0.416342412451362,0.348342479251621
"PPW1351","PPW1351",NA,-122.687651544302,38.5741484828261,"CON",3,84.9,15.1,0,62.0010277162105,392.518754662519,0.426229508196721,0.730599254879105
"PPW1352","PPW1352","YES",-122.685711573876,38.5752744811294,"CON",3,72.3,23.1,4.6,45.2186725098737,256.375373922059,0.666666666666667,1.43530999195075
"PPW1353","PPW1353",NA,-122.685471883444,38.5747213057742,"MH",3,18,82,0,33.5130841454312,241.724267593253,0.519607843137255,0.8120459123777
"PPW1354","PPW1354",NA,-122.686355995513,38.5736662928313,"CON",3,62.3,37.7,0,49.634848572933,375.398231760593,0.1,0.0668795518548358
