"","X","Plot","Quad","UTM.x","UTM.y","AEA.x","AEA.y","GEO.x","GEO.y","Tubbs.MTBS.RDNBR.30","Tubbs.MTBS.DNBR.30","Tubbs.MTBS.DNBR6.30","Kincade.MTBS.RDNBR.30","Kincade.MTBS.DNBR.30","Kincade.MTBS.DNBR6.30","Tubbs.Tukman.CanDam.10","Tubbs.Clark.RBR.30","Tubbs.BARC.dNBR.20","Tubbs.BARC.dNDVI.5","Tubbs.BARC.dNDVI4.5","Tubbs.BARC.SBS4.5"
"122",122,"PPW1512","E2",522556,4272830,-238402.72295308,68734.3068061685,-122.740952395474,38.603681461365,37,11,0,183,138,2,NA,30.0820503234863,87,90,0,NA
"123",123,"PPW1512","E3",522556,4272850,-238402.087478201,68754.3316038316,-122.740951747525,38.6038616989193,37,11,0,183,138,2,NA,30.0820503234863,88,86,0,NA
"124",124,"PPW1512","E4",522556,4272870,-238401.452003136,68774.3564000474,-122.74095109957,38.604041936468,55,17,0,-16,-28,1,NA,25.5927581787109,73,78,0,NA
"125",125,"PPW1512","E5",522555.999999999,4272890,-238400.816527881,68794.3811948146,-122.740950451609,38.6042221740111,-138,-91,0,-16,-28,1,NA,54.0294761657715,35,83,0,NA
"126",126,"PPW1515","A1",524702,4271533,-236301.072475826,67367.6523532867,-122.716352623596,38.591935916888,96,54,1,63,37,1,6.67143201828003,28.8796901702881,93,93,2,2
"127",127,"PPW1515","A2",524701.999999999,4271553,-236300.436861057,67387.67721503,-122.716351914414,38.5921161544376,104,61,1,63,37,1,6.67143201828003,34.8435859680176,88,63,2,2
"128",128,"PPW1515","A3",524702,4271573,-236299.801246077,67407.7020753361,-122.716351205226,38.5922963919816,104,61,1,63,37,1,6.67143201828003,34.8435859680176,82,67,2,2
"129",129,"PPW1515","A4",524702,4271593,-236299.165630886,67427.7269342029,-122.716350496031,38.5924766295201,103,60,1,36,14,1,6.67143201828003,98.6640319824219,84,75,2,2
"130",130,"PPW1515","A5",524702,4271613,-236298.530015486,67447.7517916327,-122.71634978683,38.592656867053,103,60,1,36,14,1,6.67143201828003,98.6640319824219,87,76,2,2
"131",131,"PPW1515","B1",524721.999999999,4271533,-236281.10174967,67367.0181219606,-122.716122970816,38.5919353600807,148,95,2,56,32,1,6.67143201828003,79.7759017944336,91,66,2,2
"132",132,"PPW1515","B2",524721.999999999,4271553,-236280.466133485,67387.0429834151,-122.71612226106,38.5921155976267,148,95,2,56,32,1,6.67143201828003,79.7759017944336,87,71,2,2
"133",133,"PPW1515","B3",524722,4271573,-236279.830517086,67407.0678434395,-122.716121551298,38.5922958351671,130,84,2,30,10,1,6.67143201828003,91.4694213867188,82,67,1,2
"134",134,"PPW1515","B4",524722,4271593,-236279.194900478,67427.0927020162,-122.716120841529,38.592476072702,103,60,1,30,10,1,6.67143201828003,98.6640319824219,79,65,2,2
"135",135,"PPW1515","B5",524722,4271613,-236278.559283657,67447.1175591624,-122.716120131754,38.5926563102313,103,60,1,36,14,1,10.4287261962891,98.6640319824219,82,72,1,2
"136",136,"PPW1515","C1",524742,4271533,-236261.131023812,67366.3838889496,-122.715893318043,38.5919348028227,148,95,2,51,27,1,6.67143201828003,79.7759017944336,79,71,1,2
"137",137,"PPW1515","C2",524741.999999999,4271553,-236260.49540621,67386.4087501182,-122.715892607713,38.5921150403651,117,73,2,56,32,1,6.67143201828003,86.4683837890625,74,68,1,2
"138",138,"PPW1515","C3",524742,4271573,-236259.859788396,67406.433609853,-122.715891897377,38.592295277902,122,77,2,32,12,1,2.12797617912292,51.8750343322754,70,72,1,2
"139",139,"PPW1515","C4",524742,4271593,-236259.224170369,67426.4584681494,-122.715891187034,38.5924755154333,122,77,2,32,12,1,2.12797617912292,51.8750343322754,77,81,2,2
"140",140,"PPW1515","C5",524742,4271613,-236258.588552133,67446.4833250069,-122.715890476685,38.592655752959,114,69,1,21,2,1,10.4287261962891,84.9222564697266,77,75,2,2
"141",141,"PPW1515","D1",524762.000000001,4271533,-236241.160298258,67365.7496542544,-122.715663665277,38.5919342451141,114,66,1,69,42,1,6.67143201828003,60.6618537902832,79,82,2,2
"142",142,"PPW1515","D2",524761.999999999,4271553,-236240.524679237,67385.7745151413,-122.715662954372,38.5921144826529,117,73,2,35,14,1,2.12797617912292,86.4683837890625,77,66,1,2
"143",143,"PPW1515","D3",524762,4271573,-236239.889060005,67405.7993745902,-122.715662243462,38.5922947201863,122,77,2,35,14,1,2.12797617912292,51.8750343322754,77,72,2,2
"144",144,"PPW1515","D4",524762,4271593,-236239.253440562,67425.8242325992,-122.715661532545,38.592474957714,139,92,2,32,12,1,10.4287261962891,84.1625747680664,80,63,1,2
"145",145,"PPW1515","D5",524762,4271613,-236238.617820906,67445.8490891731,-122.715660821621,38.5926551952361,142,96,2,-2,-17,1,10.4287261962891,100.529319763184,78,58,1,2
"146",146,"PPW1515","E1",524782,4271533,-236221.189573003,67365.1154178781,-122.715434012516,38.5919336869548,91,50,1,52,27,1,2.12797617912292,83.0431976318359,86,78,2,2
"147",147,"PPW1515","E2",524781.999999999,4271553,-236220.553952566,67385.1402784772,-122.715433301038,38.5921139244901,116,74,2,32,12,1,2.12797617912292,74.2108917236328,83,78,2,2
"148",148,"PPW1515","E3",524782,4271573,-236219.918331917,67405.1651376407,-122.715432589553,38.5922941620199,116,74,2,32,12,1,10.4287261962891,74.2108917236328,82,74,1,2
"149",149,"PPW1515","E4",524782,4271593,-236219.282711054,67425.1899953634,-122.715431878062,38.592474399544,139,92,2,45,22,1,10.4287261962891,84.1625747680664,83,67,2,2
"150",150,"PPW1515","E5",524782,4271613,-236218.647089982,67445.2148516499,-122.715431166564,38.5926546370626,142,96,2,-2,-17,1,10.4287261962891,100.529319763184,80,74,1,2
"151",151,"PPW1521","A1",524708,4269560,-236357.783658958,65392.0024525742,-122.716353674368,38.574155288319,183,122,2,17,-1,1,11.6166667938232,51.7717628479004,87,70,2,2
"152",152,"PPW1521","A2",524708,4269580,-236357.148064602,65412.0274549732,-122.71635296564,38.5743355264176,138,92,2,23,4,1,11.6166667938232,19.5899925231934,100,81,2,2
